"Line Numbers"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Cr WT%"	"  Fe WT%"	"  Ni WT%"	"  Mn WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"   O WT%"	"   TOTAL WT%"	"SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3  Oxide Percents"	"Cr2O3  Oxide Percents"	"FeO  Oxide Percents"	"NiO  Oxide Percents"	"MnO  Oxide Percents"	"MgO  Oxide Percents"	"CaO  Oxide Percents"	"Na2O  Oxide Percents"	"       O"	"Oxide Totals"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Cr AT%"	"  Fe AT%"	"  Ni AT%"	"  Mn AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"   O AT%"	"Si OXMOL%"	"Ti OXMOL%"	"Al OXMOL%"	"Cr OXMOL%"	"Fe OXMOL%"	"Ni OXMOL%"	"Mn OXMOL%"	"Mg OXMOL%"	"Ca OXMOL%"	"Na OXMOL%"	"O OXMOL%"	"   TOTAL OXMOL%"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Ti FORMULA"	"Al FORMULA"	"Cr FORMULA"	"Fe FORMULA"	"Ni FORMULA"	"Mn FORMULA"	"Mg FORMULA"	"Ca FORMULA"	"Na FORMULA"	"O FORMULA"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Cr Detection Limits"	"Fe Detection Limits"	"Ni Detection Limits"	"Mn Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Cr Percent Errors"	"Fe Percent Errors"	"Ni Percent Errors"	"Mn Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	" RELDIST"	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Cr K-RAW"	"Fe K-RAW"	"Ni K-RAW"	"Mn K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Si KRAT"	"Ti KRAT"	"Al KRAT"	"Cr KRAT"	"Fe KRAT"	"Ni KRAT"	"Mn KRAT"	"Mg KRAT"	"Ca KRAT"	"Na KRAT"	"TOTAL-WT%"	"TOTAL-OXYGEN"
111	 .498570	 .061385	 3.53260	 39.3887	 18.0666	 .000000	 .500912	 5.14652	 .020474	 .012633	 30.6545	 97.8830	 1.06662	 .102394	 6.67479	 57.5695	 23.2427	 .000000	 .646796	 8.53448	 .028647	 .017030	 .000002	 97.8830	 .526936	 .038041	 3.88635	 22.4866	 9.60283	 .000000	 .270651	 6.28550	 .015163	 .016312	 56.8716	 1.76034	 .127083	 6.49159	 37.5606	 32.0803	 .000000	 .904168	 20.9980	 .050655	 .027247	 .000000	 100.000	 6.00000	0	 .055592	 .004013	 .410013	 2.37235	 1.01311	 .000000	 .028554	 .663124	 .001600	 .001721	 6.00000	 .031335	 .043888	 .032484	 .011903	 .041625	 .039272	 .027291	 .014585	 .007745	 .024150	 3.49374	 36.5507	 .947587	 .113391	 .650303	 -504.22	 3.45740	 .603632	 18.6025	 91.9905	 29.0283	 77.6735	 10.8650	 .000000	 .023760	 .001182	 .139444	 .588386	 .321162	 -.00004	 .009212	 .101038	 .001610	 .000881	3.62134E-03	6.555732E-04	2.133204E-02	0.3770016	0.1607233	1E-10	4.536426E-03	2.623086E-02	2.146049E-04	4.419698E-05	 97.8830	 30.6545
112	 1.69579	 .131275	 5.94687	 33.9531	 15.8813	 .023515	 .452641	 2.90924	 .113734	 .040866	 29.6443	 90.7926	 3.62791	 .218975	 11.2365	 49.6250	 20.4312	 .029923	 .584467	 4.82440	 .159137	 .055086	  .00000	 90.7926	 1.88294	 .085468	 6.87335	 20.3641	 8.86829	 .012491	 .256942	 3.73284	 .088495	 .055434	 57.7797	 6.58973	 .299111	 12.0273	 35.6340	 31.0364	 .043714	 .899221	 13.0638	 .309704	 .097001	 .000000	 100.000	 6.00000	0	 .195530	 .008875	 .713748	 2.11466	 .920907	 .001297	 .026682	 .387628	 .009190	 .005756	 6.00000	 .035184	 .038978	 .036168	 .011322	 .037219	 .041101	 .027931	 .010573	 .007459	 .016317	 1.40174	 17.0630	 .700943	 .122599	 .693959	 83.1233	 3.79818	 .794481	 3.82896	 21.3895	 29.0174	 77.6781	 10.8650	 11.8298	 .080820	 .002482	 .242079	 .503824	 .281382	 .000280	 .008277	 .058194	 .008858	 .002916	1.231804E-02	1.377166E-03	0.037033	0.3228198	0.1408158	2.103977E-04	4.075854E-03	1.510789E-02	1.180407E-03	1.463168E-04	 90.7926	 29.6443
113	 16.9964	 .113111	 6.27333	 1.25478	 4.92974	 .172645	 .065506	 17.3040	 .190706	 2.12469	 39.2849	 88.7098	 36.3613	 .188676	 11.8533	 1.83395	 6.34210	 .219696	 .084584	 28.6953	 .266836	 2.86403	 .000000	 88.7098	 14.3368	 .055944	 5.50820	 .571718	 2.09127	 .069667	 .028248	 16.8670	 .112726	 2.18949	 58.1690	 38.0323	 .148408	 7.30601	 .758320	 5.54767	 .184812	 .074937	 44.7444	 .299036	 2.90411	 .000000	 100.000	 6.00000	0	 1.47881	 .005771	 .568158	 .058971	 .215710	 .007186	 .002914	 1.73979	 .011627	 .225841	 6.00000	 .019681	 .039712	 .020484	 .009723	 .031792	 .032314	 .022842	 .010075	 .006574	 .015698	 .323051	 20.2250	 .632315	 .756786	 1.29672	 9.75752	 17.7437	 .278404	 2.46738	 1.19443	 28.6910	 77.4321	 10.8650	 420.553	 .803780	 .001749	 .263315	 .016955	 .083113	 .001946	 .001106	 .456306	 .013112	 .230688	0.1225062	9.705671E-04	4.028169E-02	0.0108635	4.159351E-02	1.459871E-03	5.446433E-04	0.1184634	1.747377E-03	1.157339E-02	 88.7098	 39.2849
114	 18.3920	 .125317	 7.20233	 1.66626	 4.49404	 .114816	 .049150	 13.8760	 .219353	 .764555	 39.0356	 85.9395	 39.3471	 .209036	 13.6087	 2.43536	 5.78156	 .146106	 .063465	 23.0106	 .306919	 1.03060	 .000004	 85.9395	 16.0144	 .063980	 6.52783	 .783686	 1.96791	 .047825	 .021879	 13.9617	 .133840	 .813279	 59.6637	 44.1484	 .176380	 8.99797	 1.08024	 5.42515	 .131845	 .060316	 38.4897	 .368970	 1.12103	 .000000	 100.000	 6.00000	0	 1.61046	 .006434	 .656462	 .078810	 .197901	 .004810	 .002200	 1.40404	 .013459	 .081786	 6.00000	 .021629	 .043252	 .021867	 .009981	 .034890	 .032420	 .022969	 .009945	 .006977	 .014357	 .308545	 19.6638	 .579405	 .641319	 1.37065	 14.2576	 23.3417	 .309689	 2.29068	 2.11167	 28.6864	 77.3902	 10.8650	 462.705	 .884458	 .001938	 .314163	 .022463	 .075692	 .001294	 .000829	 .369553	 .015073	 .081920	0.1348026	1.075406E-03	4.806038E-02	1.439271E-02	3.787931E-02	9.706259E-04	4.084478E-04	9.594112E-02	2.008686E-03	4.109838E-03	 85.9395	 39.0356
115	 20.3689	 .185727	 13.0837	 .389077	 2.06044	 .052287	 .022345	 8.63864	 .250748	 4.41376	 43.0827	 92.5483	 43.5763	 .309803	 24.7215	 .568665	 2.65075	 .066537	 .028853	 14.3255	 .350847	 5.94965	 .000004	 92.5483	 16.0947	 .086049	 10.7613	 .166063	 .818777	 .019765	 .009026	 7.88780	 .138841	 4.26065	 59.7571	 49.2962	 .263558	 16.4803	 .254315	 2.50782	 .060537	 .027647	 24.1594	 .425253	 6.52494	 .000000	 100.000	 6.00000	0	 1.61601	 .008640	 1.08050	 .016674	 .082211	 .001985	 .000906	 .791987	 .013941	 .427797	 6.00000	 .022832	 .042807	 .023356	 .009771	 .032551	 .030725	 .022400	 .010062	 .006771	 .014595	 .293406	 14.1910	 .412829	 1.68633	 2.09164	 28.7191	 48.6273	 .394815	 2.06460	 .792633	 28.6551	 77.3467	 10.8650	 516.292	 .978155	 .002837	 .606221	 .005164	 .034565	 .000588	 .000375	 .229079	 .017105	 .498498	0.149083	1.573636E-03	9.273917E-02	3.308511E-03	1.729789E-02	4.409175E-04	1.847557E-04	5.947207E-02	2.279544E-03	2.500912E-02	 92.5483	 43.0827
116	 15.7825	 .001512	 .028431	 .003605	 11.1113	 .214837	 .327353	 29.5219	 .040722	 .011913	 40.8017	 97.8458	 33.7643	 .002522	 .053720	 .005269	 14.2947	 .273385	 .422691	 48.9561	 .056979	 .016058	 .000004	 97.8458	 12.3830	 .000696	 .023220	 .001528	 4.38436	 .080637	 .131306	 26.7663	 .022390	 .011418	 56.1952	 28.2802	 .001588	 .026515	 .001745	 10.0130	 .184159	 .299876	 61.1288	 .051133	 .013039	 .000000	 100.000	 6.00000	0	 1.32214	 .000074	 .002479	 .000163	 .468121	 .008610	 .014020	 2.85786	 .002391	 .001219	 6.00000	 .019443	 .037946	 .019924	 .009737	 .032748	 .033485	 .023977	 .010598	 .006802	 .017028	 .338762	 1187.43	 34.3950	 127.908	 .848084	 8.23951	 4.56078	 .213639	 8.83292	 69.1635	 29.1689	 77.3393	 10.8650	 1030.15	 .731339	 .000024	 .001080	 .000050	 .188628	 .002428	 .005558	 .771952	 .002819	 .001239	0.1114653	1.311124E-05	1.651797E-04	3.216521E-05	9.439754E-02	1.82172E-03	2.737105E-03	0.2004093	3.757059E-04	6.217769E-05	 97.8458	 40.8017
117	 19.4200	 .010596	 .009498	 .000000	 10.8706	 .229484	 .310582	 24.9518	 .045677	 .013021	 41.8578	 97.7190	 41.5464	 .017674	 .017947	 .000000	 13.9850	 .292025	 .401035	 41.3775	 .063911	 .017553	  .00000	 97.7190	 15.2279	 .004872	 .007753	 .000000	 4.28680	 .086084	 .124504	 22.6093	 .025098	 .012474	 57.6152	 35.9364	 .011496	 .009148	 .000000	 10.1164	 .203150	 .293818	 53.3556	 .059230	 .014719	 .000000	 100.000	 6.00000	0	 1.58582	 .000507	 .000807	 .000000	 .446424	 .008965	 .012966	 2.35451	 .002614	 .001299	 6.00000	 .026370	 .041120	 .028737	 .010235	 .035005	 .033124	 .023777	 .009014	 .007384	 .013843	 .303524	 186.809	 143.545	 -248.85	 .859443	 7.70175	 4.73131	 .232871	 8.50770	 52.3068	 29.1393	 77.3543	 10.8650	 1063.33	 .924847	 .000165	 .000375	 -.00003	 .184393	 .002592	 .005269	 .648725	 .003157	 .001341	0.1409582	9.172481E-05	5.737651E-05	1E-10	9.227794E-02	1.944719E-03	2.594573E-03	0.168418	4.206587E-04	6.726724E-05	 97.7190	 41.8578
118	 19.6538	 .045411	 .000000	 .008212	 11.1882	 .224354	 .338471	 27.5854	 .034150	 .000000	 43.9651	 103.043	 42.0466	 .075748	 .000000	 .012002	 14.3936	 .285496	 .437047	 45.7449	 .047782	 .000000	 .000004	 103.043	 14.5943	 .019772	 .000000	 .003294	 4.17818	 .079698	 .128492	 23.6706	 .017770	 .000000	 57.3079	 34.1863	 .046315	 .000000	 .003858	 9.78715	 .186688	 .300984	 55.4471	 .041625	 .000000	 .000000	 100.000	 6.00000	0	 1.52799	 .002070	 .000000	 .000345	 .437446	 .008344	 .013453	 2.47826	 .001860	 .000000	 6.00000	 .027186	 .037993	 .028855	 .010079	 .036001	 .033455	 .023093	 .009746	 .007387	 .015638	 .302894	 43.4610	 -42.369	 58.4188	 .847506	 7.91988	 4.35129	 .221017	 11.0960	 -135.63	 29.1985	 77.3526	 10.8650	 1122.55	 .930126	 .000708	 -.00123	 .000114	 .189708	 .002534	 .005740	 .720117	 .002360	 -.00055	0.1417628	3.929429E-04	1E-10	7.299567E-05	9.493791E-02	1.900869E-03	2.826608E-03	0.1869523	3.144639E-04	1E-10	 103.043	 43.9651
119	 18.3423	 .025561	 .008757	 .000000	 12.7098	 .211240	 .396282	 25.0254	 .040139	 .008076	 41.2307	 97.9983	 39.2408	 .042637	 .016546	 .000000	 16.3511	 .268808	 .511694	 41.4996	 .056162	 .010887	 .000008	 97.9983	 14.5120	 .011858	 .007212	 .000000	 5.05712	 .079952	 .160286	 22.8797	 .022253	 .007806	 57.2618	 33.9617	 .027750	 .008439	 .000000	 11.8349	 .187106	 .375108	 53.5439	 .052078	 .009134	 .000000	 100.000	 6.00000	0	 1.52060	 .001242	 .000756	 .000000	 .529895	 .008378	 .016795	 2.39737	 .002332	 .000818	 6.00000	 .024651	 .037196	 .025116	 .010050	 .035483	 .034390	 .023379	 .009525	 .007200	 .015319	 .312473	 72.7601	 136.263	 -410.72	 .791820	 8.54395	 3.87854	 .234179	 9.36532	 91.4548	 24.4090	 77.5361	 10.8630	 .000000	 .868979	 .000401	 .000343	 -.00002	 .216289	 .002392	 .006745	 .641403	 .002786	 .000815	0.1324433	2.226113E-04	5.244168E-05	1E-10	0.1082404	1.794135E-03	3.321218E-03	0.1665172	3.712345E-04	4.089671E-05	 97.9983	 41.2307
120	 18.4348	 .064703	 .004066	 .008354	 12.7994	 .197583	 .402553	 26.8547	 .041895	 .000000	 42.5878	 101.396	 39.4386	 .107928	 .007682	 .012210	 16.4664	 .251429	 .519791	 44.5331	 .058620	 .000000	 .000011	 101.396	 14.0683	 .028952	 .003230	 .003444	 4.91227	 .072132	 .157052	 23.6819	 .022404	 .000000	 57.0503	 32.7578	 .067414	 .003760	 .004009	 11.4382	 .167959	 .365693	 55.1430	 .052168	 .000000	 .000000	 100.000	 6.00000	0	 1.47957	 .003045	 .000340	 .000362	 .516626	 .007586	 .016517	 2.49064	 .002356	 .000000	 6.00000	 .023977	 .029601	 .025160	 .009806	 .034653	 .034514	 .024153	 .010072	 .006911	 .016730	 .311958	 26.4134	 292.788	 55.9046	 .788662	 9.10433	 3.89842	 .225606	 8.71801	 -93.449	 24.3935	 77.5327	 10.8630	 15.8701	 .869532	 .001015	 .000158	 .000117	 .217685	 .002236	 .006848	 .691207	 .002906	 -.00084	0.1325275	5.630271E-04	2.419908E-05	7.500183E-05	0.1089388	1.67759E-03	3.371946E-03	0.1794468	3.873317E-04	1E-10	 101.396	 42.5878
121	 20.0821	 .000000	 .000000	 .000462	 12.8011	 .184398	 .391694	 24.4650	 .078445	 .000000	 42.8493	 100.853	 42.9627	 .000000	 .000000	 .000675	 16.4686	 .234651	 .505769	 40.5704	 .109761	 .000000	 .000000	 100.853	 15.4061	 .000000	 .000000	 .000191	 4.93882	 .067674	 .153620	 21.6883	 .042171	 .000000	 57.7031	 36.4239	 .000000	 .000000	 .000226	 11.6766	 .159997	 .363196	 51.2764	 .099703	 .000000	 .000000	 100.000	 6.00000	0	 1.60194	 .000000	 .000000	 .000020	 .513541	 .007037	 .015974	 2.25516	 .004385	 .000000	 6.00000	 .028431	 .038566	 .029329	 .010061	 .035489	 .035673	 .023893	 .009466	 .007080	 .015030	 .298657	 -398.61	 -120.45	 1027.09	 .788976	 9.96579	 3.95773	 .236704	 5.13755	 -448.40	 24.4477	 77.5168	 10.8630	 72.3552	 .959434	 -.00007	 -.00045	 .000006	 .217663	 .002087	 .006661	 .627414	 .005438	 -.00016	0.1462298	1E-10	1E-10	4.147021E-06	0.1089279	1.565347E-03	3.280181E-03	0.1628854	7.247205E-04	1E-10	 100.853	 42.8493
122	 28.6920	 .055519	 2.56236	 .330553	 5.25431	 .063110	 .106901	 19.1014	 .647394	 .034923	 49.5580	 106.406	 61.3824	 .092609	 4.84153	 .483128	 6.75966	 .080309	 .138035	 31.6758	 .905834	 .047075	 .000000	 106.406	 19.9444	 .022629	 1.85403	 .124114	 1.83682	 .020986	 .037989	 15.3433	 .315349	 .029656	 60.4707	 51.7695	 .058737	 2.40624	 .161081	 4.76781	 .054474	 .098608	 39.8265	 .818547	 .038489	 .000000	 100.000	 6.00000	0	 1.97892	 .002245	 .183960	 .012315	 .182253	 .002082	 .003769	 1.52239	 .031289	 .002943	 6.00000	 .022927	 .041381	 .023123	 .010116	 .035451	 .032237	 .022735	 .009449	 .006913	 .015995	 .241357	 38.8885	 1.03409	 1.93913	 1.26380	 25.0490	 11.3129	 .261263	 1.12934	 23.3605	 22.5887	 82.6672	 10.8745	 .000000	 1.43091	 .000849	 .111261	 .004428	 .088105	 .000708	 .001794	 .516187	 .044141	 .003778	0.2180893	4.712156E-04	1.702064E-02	2.836924E-03	4.409154E-02	5.311575E-04	8.832701E-04	0.1340093	5.882358E-03	1.895241E-04	 106.406	 49.5580
123	 26.6902	 .066277	 2.89928	 .340839	 4.98043	 .062480	 .106555	 18.1126	 .664041	 .040828	 46.8679	 100.831	 57.0998	 .110554	 5.47814	 .498162	 6.40731	 .079507	 .137588	 30.0362	 .929128	 .055036	 .000004	 100.831	 19.5911	 .028525	 2.21520	 .135138	 1.83850	 .021939	 .039985	 15.3632	 .341558	 .036612	 60.3882	 50.9941	 .074248	 2.88300	 .175877	 4.78548	 .057106	 .104078	 39.9894	 .889050	 .047649	 .000000	 100.000	 6.00000	0	 1.94651	 .002834	 .220096	 .013427	 .182668	 .002180	 .003973	 1.52645	 .033936	 .003638	 6.00000	 .025540	 .041871	 .026770	 .010360	 .035434	 .032808	 .023693	 .008653	 .007135	 .014308	 .251638	 33.4589	 .987244	 1.91844	 1.30000	 25.7061	 11.7222	 .268124	 1.11908	 18.4646	 22.5981	 82.5984	 10.8745	 69.4412	 1.32661	 .001014	 .125848	 .004566	 .083532	 .000701	 .001788	 .489533	 .045295	 .004417	0.2021927	5.626997E-04	1.925215E-02	2.925818E-03	4.180316E-02	5.25979E-04	8.806307E-04	0.1270895	6.036222E-03	2.21613E-04	 100.831	 46.8679
124	 26.3168	 .052382	 2.84226	 .339253	 4.92756	 .030934	 .112986	 15.4404	 .681299	 .037046	 44.6064	 95.3873	 56.3011	 .087377	 5.37039	 .495843	 6.33929	 .039364	 .145892	 25.6048	 .953275	 .049937	 .000004	 95.3873	 20.4473	 .023864	 2.29869	 .142379	 1.92541	 .011498	 .044879	 13.8629	 .370938	 .035164	 60.8370	 53.9152	 .062924	 3.03059	 .187712	 5.07691	 .030317	 .118337	 36.5535	 .978088	 .046360	 .000000	 100.000	 6.00000	0	 2.01659	 .002354	 .226706	 .014042	 .189892	 .001134	 .004426	 1.36721	 .036583	 .003468	 6.00000	 .026700	 .037832	 .027329	 .010378	 .033576	 .033230	 .022905	 .008465	 .007133	 .011912	 .252712	 38.1217	 .997278	 1.92691	 1.30281	 51.5891	 10.8305	 .291141	 1.10177	 17.4713	 22.4959	 82.4137	 10.8745	 280.532	 1.32028	 .000802	 .125214	 .004549	 .082655	 .000347	 .001897	 .415502	 .046477	 .003979	0.2012272	4.448864E-04	1.915507E-02	2.914687E-03	4.136389E-02	2.604566E-04	9.339176E-04	0.1078701	6.193775E-03	1.996374E-04	 95.3873	 44.6064
125	 27.5192	 .095546	 2.89183	 .345837	 4.94340	 .085271	 .100643	 16.2672	 .762779	 .045231	 46.6477	 99.7047	 58.8734	 .159376	 5.46405	 .505466	 6.35967	 .108510	 .129954	 26.9759	 1.06728	 .060970	 .000000	 99.7047	 20.4418	 .041615	 2.23600	 .138763	 1.84671	 .030301	 .038219	 13.9634	 .397049	 .041046	 60.8251	 53.8410	 .109608	 2.94466	 .182742	 4.86400	 .079810	 .100665	 36.7777	 1.04577	 .054055	 .000000	 100.000	 6.00000	0	 2.01645	 .004105	 .220566	 .013688	 .182166	 .002989	 .003770	 1.37740	 .039166	 .004049	 6.00000	 .026607	 .035811	 .027798	 .009925	 .032302	 .032632	 .023585	 .008034	 .007167	 .012506	 .246856	 21.7591	 .990529	 1.85309	 1.29748	 18.9908	 12.2957	 .283301	 1.03090	 15.2183	 22.7229	 82.3729	 10.8745	 511.169	 1.38072	 .001462	 .127319	 .004632	 .082917	 .000957	 .001689	 .438171	 .052025	 .004866	0.2104397	8.109921E-04	1.947716E-02	2.968086E-03	4.149507E-02	7.178676E-04	8.317595E-04	0.1137551	6.933015E-03	2.441198E-04	 99.7047	 46.6477
126	 19.5908	 .009162	 .000000	 .000000	 7.70630	 .289558	 .100413	 28.8096	 .058312	 .002609	 43.6326	 100.199	 41.9117	 .015282	 .000000	 .000000	 9.91414	 .368470	 .129657	 47.7750	 .081590	 .003517	 .000004	 100.199	 14.6650	 .004021	 .000000	 .000000	 2.90113	 .103692	 .038427	 24.9208	 .030588	 .002386	 57.3339	 34.3726	 .009425	 .000000	 .000000	 6.79981	 .243038	 .090067	 58.4106	 .071694	 .002796	 .000000	 100.000	 6.00000	0	 1.53470	 .000421	 .000000	 .000000	 .303603	 .010851	 .004021	 2.60797	 .003201	 .000250	 6.00000	 .023623	 .033662	 .026650	 .009925	 .031341	 .033363	 .023690	 .009207	 .007103	 .015017	 .301821	 177.950	 -99.336	 -7602.6	 1.02470	 6.31196	 12.3594	 .213005	 6.65089	 273.264	 12.8994	 80.1950	 10.8650	 .000000	 .924870	 .000141	 -.00049	  .00000	 .129985	 .003258	 .001694	 .773675	 .004001	 .000282	0.1409618	7.847625E-05	1E-10	1E-10	6.504978E-02	2.44415E-03	8.341157E-04	0.2008567	5.33245E-04	1.412743E-05	 100.199	 43.6326
